Android Angular 
Angular Delphi 
Delphi Docker 
Docker Engenharia 
Engenharia de 
de Software 
Software Flutter 
Flutter HTML 
HTML e 
e CSS 
CSS Java 
Java JavaScript 
JavaScript Kotlin 
Kotlin Nodejs 
Nodejs Net 
Net PHP 
PHP Python 
Python React 
React React 
React Native 
Native Spring 
Spring SQL 
SQL e 
e Banco 
Banco de 
de dados 
dados Ver 
Ver todos 
todos Exercite 
Exercite Cursos 
Cursos Vagas 
Vagas de 
de programação 
programação Contrate 
Contrate um 
um programador 
programador Artigos 
Artigos Vídeos 
Vídeos Projetos 
Projetos Revistas 
Revistas Fórum 
Fórum Ranking 
Ranking teste 
teste grátis 
grátis Empresarial 
Empresarial Esqueceu 
Esqueceu o 
o login 
login ou 
ou a 
a senha 
senha Cadastrese 
Cadastrese Invista 
Invista em 
em você 
você Saiba 
Saiba como 
como a 
a DevMedia 
DevMedia pode 
pode ajudar 
ajudar sua 
sua carreira 
carreira Este 
Este Artigo 
Artigo faz 
faz parte 
parte da 
da Revista 
Revista Artigos 
Artigos Neste 
Neste contexto 
contexto neste 
neste artigo 
artigo apresentaremos 
apresentaremos alguns 
alguns modelos 
modelos de 
de ciclo 
ciclo de 
de vida 
vida quais 
quais sejam 
sejam Cascata 
Cascata Modelo 
Modelo em 
em V 
V Incremental 
Incremental Evolutivo 
Evolutivo RAD 
RAD Prototipagem 
Prototipagem Espiral 
Espiral Modelo 
Modelo de 
de Ciclo 
Ciclo de 
de Vida 
Vida Associado 
Associado ao 
ao RUP 
RUP O 
O ciclo 
ciclo de 
de vida 
vida é 
é a 
a estrutura 
estrutura contendo 
contendo processos 
processos atividades 
atividades e 
e tarefas 
tarefas envolvidas 
envolvidas no 
no desenvolvimento 
desenvolvimento operação 
operação e 
e manutenção 
manutenção de 
de um 
um produto 
produto de 
de software 
software abrangendo 
abrangendo a 
a vida 
vida do 
do sistema 
sistema desde 
desde a 
a definição 
definição de 
de seus 
seus requisitos 
requisitos até 
até o 
o término 
término de 
de seu 
seu uso 
uso O 
O modelo 
modelo de 
de ciclo 
ciclo de 
de vida 
vida é 
é a 
a primeira 
primeira escolha 
escolha a 
a ser 
ser feita 
feita no 
no processo 
processo de 
de software 
software A 
A partir 
partir desta 
desta escolha 
escolha definirseá 
definirseá desde 
desde a 
a maneira 
maneira mais 
mais adequada 
adequada de 
de obter 
obter as 
as necessidades 
necessidades do 
do cliente 
cliente até 
até quando 
quando e 
e como 
como o 
o cliente 
cliente receberá 
receberá sua 
sua primeira 
primeira versão 
versão operacional 
operacional do 
do sistema 
sistema Processo 
Processo de 
de software 
software é 
é o 
o conjunto 
conjunto de 
de atividades 
atividades que 
que constituem 
constituem o 
o desenvolvimento 
desenvolvimento de 
de um 
um sistema 
sistema computacional 
computacional Estas 
Estas atividades 
atividades são 
são agrupadas 
agrupadas em 
em fases 
fases como 
como definição 
definição de 
de requisitos 
requisitos análise 
análise projeto 
projeto desenvolvimento 
desenvolvimento teste 
teste e 
e implantação 
implantação Em 
Em cada 
cada fase 
fase são 
são definidas 
definidas além 
além das 
das suas 
suas atividades 
atividades as 
as funções 
funções e 
e responsabilidades 
responsabilidades de 
de cada 
cada membro 
membro da 
da equipe 
equipe e 
e como 
como produto 
produto resultante 
resultante os 
os artefatos 
artefatos O 
O que 
que diferencia 
diferencia um 
um processo 
processo de 
de software 
software do 
do outro 
outro é 
é a 
a ordem 
ordem em 
em que 
que as 
as fases 
fases vão 
vão ocorrer 
ocorrer o 
o tempo 
tempo e 
e a 
a ênfase 
ênfase dados 
dados a 
a cada 
cada fase 
fase as 
as atividades 
atividades presentes 
presentes e 
e os 
os produtos 
produtos entregues 
entregues Com 
Com o 
o crescimento 
crescimento do 
do mercado 
mercado de 
de software 
software houve 
houve uma 
uma tendência 
tendência a 
a repetiremse 
repetiremse os 
os passos 
passos e 
e as 
as práticas 
práticas que 
que deram 
deram certo 
certo A 
A etapa 
etapa seguinte 
seguinte foi 
foi a 
a formalização 
formalização em 
em modelos 
modelos de 
de ciclo 
ciclo de 
de vida 
vida Em 
Em outras 
outras palavras 
palavras os 
os modelos 
modelos de 
de ciclo 
ciclo de 
de vida 
vida são 
são o 
o esqueleto 
esqueleto ou 
ou as 
as estruturas 
estruturas prédefinidas 
prédefinidas nas 
nas quais 
quais encaixamos 
encaixamos as 
as fases 
fases do 
do processo 
processo De 
De acordo 
acordo com 
com a 
a o 
o ciclo 
ciclo de 
de vida 
vida é 
é a 
a Estrutura 
Estrutura contendo 
contendo processos 
processos atividades 
atividades e 
e tarefas 
tarefas envolvidas 
envolvidas no 
no desenvolvimento 
desenvolvimento operação 
operação e 
e manutenção 
manutenção de 
de um 
um produto 
produto de 
de software 
software abrangendo 
abrangendo a 
a vida 
vida do 
do sistema 
sistema desde 
desde a 
a definição 
definição de 
de seus 
seus requisitos 
requisitos até 
até o 
o término 
término de 
de seu 
seu uso 
uso O 
O modelo 
modelo de 
de ciclo 
ciclo de 
de vida 
vida é 
é a 
a primeira 
primeira escolha 
escolha a 
a ser 
ser feita 
feita no 
no processo 
processo de 
de software 
software A 
A partir 
partir desta 
