Skip to content 
to content contatogaeacombr 
content contatogaeacombr standard 
contatogaeacombr standard logo 
standard logo Usar 
logo Usar frameworks 
Usar frameworks é 
frameworks é algo 
é algo que 
algo que já 
que já faz 
já faz parte 
faz parte do 
parte do dia 
do dia a 
dia a dia 
a dia da 
dia da maioria 
da maioria dos 
maioria dos desenvolvedores 
dos desenvolvedores especialmente 
desenvolvedores especialmente de 
especialmente de quem 
de quem trabalha 
quem trabalha com 
trabalha com um 
com um grande 
um grande número 
grande número de 
número de projetos 
de projetos que 
projetos que usam 
que usam funções 
usam funções similares 
funções similares Afinal 
similares Afinal a 
Afinal a possibilidade 
a possibilidade de 
possibilidade de reutilizar 
de reutilizar códigos 
reutilizar códigos com 
códigos com poucas 
com poucas alterações 
poucas alterações ajuda 
alterações ajuda a 
ajuda a poupar 
a poupar tempo 
poupar tempo Isso 
tempo Isso porque 
Isso porque o 
porque o framework 
o framework dá 
framework dá uma 
dá uma caixa 
uma caixa de 
caixa de ferramentas 
de ferramentas para 
ferramentas para o 
para o programador 
o programador que 
programador que vai 
que vai além 
vai além do 
além do que 
do que é 
que é oferecido 
é oferecido pela 
oferecido pela linguagem 
pela linguagem Seu 
linguagem Seu conceito 
Seu conceito porém 
conceito porém pode 
porém pode ser 
pode ser confuso 
ser confuso em 
confuso em relação 
em relação a 
relação a outras 
a outras formas 
outras formas de 
formas de aproveitar 
de aproveitar códigos 
aproveitar códigos em 
códigos em vários 
em vários projetos 
vários projetos como 
projetos como a 
como a orientação 
a orientação a 
orientação a objetos 
a objetos e 
objetos e às 
e às classes 
às classes A 
classes A grande 
A grande diferença 
grande diferença é 
diferença é que 
é que o 
que o método 
o método opera 
método opera de 
opera de forma 
de forma muito 
forma muito mais 
muito mais profunda 
mais profunda com 
profunda com vantagens 
com vantagens e 
vantagens e desvantagens 
e desvantagens Por 
desvantagens Por isso 
Por isso neste 
isso neste post 
neste post explicaremos 
post explicaremos o 
explicaremos o que 
o que é 
que é framework 
é framework e 
framework e qual 
e qual é 
qual é seu 
é seu impacto 
seu impacto no 
impacto no desenvolvimento 
no desenvolvimento de 
desenvolvimento de projetos 
de projetos Acompanhe 
projetos Acompanhe Basicamente 
Acompanhe Basicamente é 
Basicamente é um 
é um template 
um template com 
template com diversas 
com diversas funções 
diversas funções que 
funções que podem 
que podem ser 
podem ser usadas 
ser usadas pelo 
usadas pelo desenvolvedor 
pelo desenvolvedor Com 
desenvolvedor Com ele 
Com ele é 
ele é desnecessário 
é desnecessário gastar 
desnecessário gastar tempo 
gastar tempo para 
tempo para reproduzir 
para reproduzir a 
reproduzir a mesma 
a mesma função 
mesma função em 
função em diferentes 
em diferentes projetos 
diferentes projetos auxiliando 
projetos auxiliando em 
auxiliando em um 
em um gerenciamento 
um gerenciamento ágil 
gerenciamento ágil de 
ágil de projetos 
de projetos Em 
projetos Em outras 
Em outras palavras 
outras palavras ele 
palavras ele é 
ele é uma 
é uma estrutura 
uma estrutura base 
estrutura base uma 
base uma plataforma 
uma plataforma de 
plataforma de desenvolvimento 
de desenvolvimento como 
desenvolvimento como uma 
como uma espécie 
uma espécie de 
espécie de arcabouço 
de arcabouço Ele 
arcabouço Ele contém 
Ele contém ferramentas 
contém ferramentas guias 
ferramentas guias sistemas 
guias sistemas e 
sistemas e componentes 
e componentes que 
componentes que agilizem 
que agilizem o 
agilizem o processo 
o processo de 
processo de desenvolvimento 
de desenvolvimento de 
desenvolvimento de soluções 
de soluções auxiliando 
soluções auxiliando os 
auxiliando os especialistas 
os especialistas de 
especialistas de TI 
de TI em 
TI em seus 
em seus trabalhos 
seus trabalhos Possui 
trabalhos Possui também 
Possui também um 
também um conjunto 
um conjunto de 
conjunto de bibliotecas 
de bibliotecas que 
bibliotecas que permitem 
que permitem aos 
permitem aos desenvolvedores 
aos desenvolvedores trabalharem 
desenvolvedores trabalharem sobre 
trabalharem sobre eles 
sobre eles para 
eles para operações 
para operações maiores 
operações maiores Além 
maiores Além disso 
Além disso é 
disso é o 
é o responsável 
o responsável por 
responsável por “ 
por “ tomar 
“ tomar conta 
tomar conta ” 
conta ” da 
” da solução 
da solução criada 
solução criada por 
criada por assim 
por assim dizer 
assim dizer Assim 
dizer Assim para 
Assim para que 
para que seu 
que seu aplicativo 
seu aplicativo ou 
aplicativo ou solução 
ou solução dê 
solução dê certo 
dê certo é 
certo é preciso 
é preciso escolher 
preciso escolher um 
escolher um bom 
um bom framework 
bom framework de 
framework de trabalho 
de trabalho principalmente 
trabalho principalmente por 
principalmente por gerar 
por gerar todo 
gerar todo o 
todo o fluxo 
o fluxo de 
fluxo de controle 
de controle da 
controle da aplicação 
da aplicação Isso 
aplicação Isso também 
Isso também é 
também é importante 
é importante pois 
importante pois os 
pois os frameworks 
os frameworks fazem 
frameworks fazem com 
fazem com que 
com que você 
que você não 
você não tenha 
não tenha que 
tenha que se 
que se preocupar 
se preocupar em 
preocupar em ficar 
em ficar reescrevendo 
ficar reescrevendo códigos 
reescrevendo códigos podendo 
códigos podendo focar 
podendo focar somente 
focar somente na 
somente na resolução 
na resolução de 
resolução de problemas 
de problemas ou 
problemas ou seja 
ou seja direcionando 
seja direcionando seus 
direcionando seus esforços 
seus esforços para 
esforços para o 
para o objetivo 
o objetivo final 
objetivo final Uma 
final Uma boa 
Uma boa comparação 
boa comparação é 
comparação é a 
é a da 
a da caixa 
da caixa de 
caixa de ferramentas 
de ferramentas só 
ferramentas só que 
só que em 
que em vez 
em vez de 
vez de chaves 
de chaves de 
chaves de fenda 
de fenda e 
fenda e martelos 
e martelos há 
martelos há bases 
há bases para 
bases para formulários 
para formulários de 
formulários de login 
de login validação 
login validação de 
validação de campos 
de campos e 
campos e conexão 
e conexão com 
conexão com bancos 
com bancos de 
bancos de dados 
de dados Nesse 
dados Nesse sentido 
Nesse sentido como 
sentido como parte 
como parte da 
parte da tendência 
da tendência de 
tendência de buscar 
de buscar reduzir 
buscar reduzir custos 
reduzir custos e 
custos e aumentar 
e aumentar a 
aumentar a produtividade 
a produtividade o 
produtividade o uso 
o uso desse 
uso desse recurso 
desse recurso tem 
recurso tem se 
tem se tornado 
se tornado cada 
tornado cada vez 
cada vez mais 
vez mais popular 
mais popular Hoje 
popular Hoje já 
Hoje já existe 
já existe uma 
existe uma grande 
uma grande variedade 
grande variedade de 
variedade de soluções 
de soluções disponíveis 
soluções disponíveis para 
disponíveis para as 
para as mais 
as mais diversas 
mais diversas linguagens 
diversas linguagens com 
linguagens com comunidades 
com comunidades que 
comunidades que testam 
que testam e 
testam e criam 
e criam diferentes 
criam diferentes funções 
diferentes funções Rock 
funções Rock Convert 
Rock Convert As 
Convert As funções 
As funções do 
funções do framework 
do framework têm 
framework têm uma 
têm uma grande 
uma grande variedade 
grande variedade de 
variedade de parâmetros 
de parâmetros garantindo 
parâmetros garantindo ao 
garantindo ao desenvolvedor 
ao desenvolvedor a 
desenvolvedor a possibilidade 
a possibilidade de 
possibilidade de fazer 
de fazer personalizações 
fazer personalizações de 
personalizações de acordo 
de acordo com 
acordo com as 
com as necessidades 
as necessidades do 
necessidades do projeto 
do projeto Para 
projeto Para isso 
Para isso são 
isso são usados 
são usados princípios 
usados princípios de 
princípios de orientação 
de orientação a 
orientação a objeto 
a objeto como 
objeto como a 
como a abstração 
a abstração o 
abstração o polimorfismo 
o polimorfismo e 
polimorfismo e a 
e a herança 
a herança Aliás 
herança Aliás vale 
Aliás vale ressaltar 
vale ressaltar que 
ressaltar que a 
que a integração 
a integração entre 
integração entre as 
entre as diferentes 
as diferentes funções 
diferentes funções dessa 
funções dessa ferramenta 
dessa ferramenta é 
ferramenta é uma 
é uma de 
uma de suas 
de suas principais 
suas principais características 
principais características Isso 
características Isso significa 
Isso significa que 
significa que as 
que as ferramentas 
as ferramentas são 
ferramentas são feitas 
são feitas de 
feitas de forma 
de forma aberta 
forma aberta para 
aberta para que 
para que se 
que se adaptem 
se adaptem a 
adaptem a uma 
a uma grande 
uma grande quantidade 
grande quantidade de 
quantidade de situações 
de situações Os 
situações Os pontos 
Os pontos providos 
pontos providos pelo 
providos pelo framework 
pelo framework são 
framework são chamados 
são chamados de 
chamados de frozen 
de frozen spots 
frozen spots ou 
spots ou hook 
ou hook points 
hook points Já 
points Já a 
Já a instanciação 
a instanciação e 
instanciação e a 
e a personalização 
a personalização criadas 
personalização criadas pelo 
criadas pelo desenvolvedor 
pelo desenvolvedor são 
desenvolvedor são denominadas 
são denominadas de 
denominadas de host 
de host spots 
host spots A 
spots A criação 
A criação de 
criação de funções 
de funções e 
funções e a 
e a modularização 
a modularização também 
modularização também existem 
também existem fora 
existem fora dos 
fora dos frameworks 
dos frameworks o 
frameworks o que 
o que pode 
que pode causar 
pode causar certa 
causar certa confusão 
certa confusão Bibliotecas 
confusão Bibliotecas de 
Bibliotecas de classes 
de classes por 
classes por exemplo 
por exemplo são 
exemplo são uma 
são uma implementação 
uma implementação em 
implementação em que 
em que as 
que as funções 
as funções podem 
funções podem ser 
podem ser importadas 
ser importadas para 
importadas para uso 
para uso em 
uso em diversos 
em diversos projetos 
diversos projetos A 
projetos A grande 
A grande diferença 
grande diferença do 
diferença do framework 
do framework é 
framework é a 
é a integração 
a integração entre 
integração entre suas 
entre suas diferentes 
suas diferentes funções 
diferentes funções Enquanto 
funções Enquanto em 
Enquanto em bibliotecas 
em bibliotecas de 
bibliotecas de classes 
de classes as 
classes as funções 
as funções operam 
funções operam de 
operam de forma 
de forma relativamente 
forma relativamente independente 
relativamente independente em 
independente em um 
em um framework 
um framework há 
framework há relações 
há relações já 
relações já embutidas 
já embutidas de 
embutidas de dependência 
de dependência entre 
dependência entre os 
entre os componentes 
os componentes Outro 
componentes Outro diferencial 
Outro diferencial é 
diferencial é a 
é a forma 
a forma como 
forma como o 
como o programa 
o programa flui 
programa flui No 
flui No caso 
No caso das 
caso das bibliotecas 
das bibliotecas por 
bibliotecas por exemplo 
por exemplo é 
exemplo é o 
é o programa 
o programa que 
programa que controla 
que controla o 
controla o fluxo 
o fluxo e 
fluxo e faz 
e faz as 
faz as importações 
as importações Já 
importações Já quando 
Já quando se 
quando se usa 
se usa um 
usa um framework 
um framework é 
framework é ele 
é ele quem 
ele quem acessa 
quem acessa as 
acessa as funções 
as funções criadas 
funções criadas pelo 
criadas pelo usuário 
pelo usuário Alguns 
usuário Alguns cuidados 
Alguns cuidados devem 
cuidados devem ser 
devem ser tomados 
ser tomados quando 
tomados quando falamos 
quando falamos de 
falamos de uso 
de uso de 
uso de frameworks 
de frameworks Por 
frameworks Por exemplo 
Por exemplo há 
exemplo há algumas 
há algumas perguntas 
algumas perguntas que 
perguntas que devem 
que devem ser 
devem ser respondidas 
ser respondidas de 
respondidas de antemão 
de antemão tais 
antemão tais como 
tais como Também 
como Também é 
Também é importante 
é importante considerar 
importante considerar a 
considerar a possibilidade 
a possibilidade de 
possibilidade de os 
de os frameworks 
os frameworks existentes 
frameworks existentes não 
existentes não suprirem 
não suprirem a 
suprirem a necessidade 
a necessidade das 
necessidade das suas 
das suas aplicações 
suas aplicações ou 
aplicações ou em 
ou em alguns 
em alguns casos 
alguns casos ele 
casos ele apresente 
ele apresente uma 
apresente uma complexidade 
uma complexidade muito 
complexidade muito maior 
muito maior do 
maior do que 
do que as 
que as soluções 
as soluções necessitam 
soluções necessitam Para 
necessitam Para escolher 
Para escolher o 
escolher o modelo 
o modelo de 
modelo de framework 
de framework ideal 
framework ideal para 
ideal para as 
para as soluções 
